pc0,pc1,pc2
-2.37568355,-0.317688644,-0.496916205
2.11830115,-1.6224314,-0.0746064112
6.05526543,-0.827623308,-2.45139337
2.80592012,1.46580446,-0.741174579
-1.19129384,-1.25437605,-0.400085628
-1.15039694,1.50509131,1.0659945
0.304006577,-0.514644265,-1.26311934
0.669419646,1.14438033,-0.82067579
0.80727303,-0.0369533487,-1.3938812
0.535237849,-0.388563305,1.18355668
-1.57348871,0.963983834,2.06406808
0.685420215,-0.0488965549,0.329563171
0.407184303,0.510366678,-0.696171641
2.72698307,0.448682994,-0.668491244
0.619275451,0.55549401,0.890226781
2.94865751,0.202050745,-0.370927006
-0.785295308,-0.778886795,1.29958463
0.776094198,1.06288183,-1.03799844
-1.5684706,0.206427947,-0.849268019
-1.1945616,-0.00441570207,-0.836070538
-2.29939723,0.239247307,-0.319706351
1.07366121,0.031390164,-0.548342645
-0.47021848,0.254531741,-0.534061849
-2.11081576,0.139493138,-0.655560613
-0.680867136,-0.927002728,1.26045716
0.820850432,0.335055828,0.727173746
0.946369708,0.747863114,-0.692224145
3.03609776,-0.0635185167,-1.43559325
-1.40152514,1.76399136,0.513420641
-2.01818323,-0.0695594102,-0.445499331
-0.412027299,0.816206336,1.12997365
-0.16290164,-0.388711095,-0.163777545
1.211532,1.4144367,-1.18841314
-0.0184044708,1.78886771,0.641752541
-1.03038287,-0.793291926,0.515694141
1.52727604,-0.585364997,0.654194534
-0.399809837,2.48679447,0.0393181555
2.12094259,0.298689276,-0.126657143
-4.33924103,1.07866824,-1.03702164
1.04648757,0.637697339,0.262072772
0.399227142,-0.787305057,-0.839711249
3.3002739,-0.429545432,0.10600049
0.0463012233,1.65640199,-0.457419127
0.743456185,0.0513213687,0.66702801
0.662607849,2.14274383,1.07833445
-0.408232689,-0.10505233,-0.739165187
1.62209582,-0.157453924,0.176761508
-4.17608166,1.50111175,-0.553307712
-6.37419844,0.589039207,1.75509739
1.32099283,-2.91294527,1.88288271
2.66073585,-1.02703452,2.11737132
5.51607656,-1.69893479,-2.49108648
2.23591137,1.47141588,-3.25927472
-2.78333616,-0.55311799,1.12250245
-1.23010015,0.0978699178,0.0698148161
2.58859944,0.933700085,-0.181356907
0.353217363,0.037997894,-0.605530918
-2.36449099,0.630837023,0.974718392
0.194942534,-0.586552262,-1.4867295
