XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLK,XLU
-1.55713272,-2.74476695,-1.34462202,-1.25064147,-2.14295506,-0.67562139,-0.294953644,-1.35802567,0.808403254
-0.724014878,-1.05076706,-0.232812449,-1.49320555,-0.905463517,-0.268633962,-0.658808053,-1.30823433,0.0726791993
0.757371783,-0.0173449088,1.53858149,1.78868151,0.074695453,-0.559067965,-0.665024936,1.23957276,0.415435165
-1.43146765,-0.53793788,-1.69051075,-1.37811685,-1.01271176,-1.2761277,-1.58393443,-0.464935899,-1.43688047
0.959638119,1.53667021,0.551919162,0.872820735,0.620391667,0.732851684,-1.36525357,0.759335041,0.160521954
0.405528903,0.367552668,-0.326053917,-0.819351256,0.222782552,0.0196351819,2.82143164,-1.40734065,-0.0567835718
-0.17730096,-1.63058138,0.611488819,-0.364886224,-0.319584399,0.972288668,-0.0971182063,0.636360765,-0.0133457696
1.5905757,0.953600943,0.173011735,-0.0445226878,0.665134728,0.755897284,0.188823655,-0.441441923,-0.799076736
0.507297099,3.52937317,0.846686482,1.01840031,2.10709023,0.747922182,1.23693359,1.77011371,1.20568204
0.166007578,-0.89273423,0.623107851,1.03440762,-0.792645156,0.700185716,0.184454605,1.06909049,0.675217867
-1.0820564,-1.47169805,-0.893257558,-1.01689744,-0.750683725,-0.704044938,-0.858631372,-1.44528711,-0.0133457696
-0.712085187,-0.59202987,0.10930793,-0.149267346,0.0249399226,0.0584687404,-0.665024936,0.897864521,0.626996279
-1.03092217,-1.9562577,0.29151687,-1.07374275,-0.756280482,-0.912951827,1.11744308,-0.940531731,-0.696549416
-0.374731779,-1.06642532,0.410502255,0.0986213535,-1.05956745,-0.14438878,-0.61985296,-0.850166917,-0.572661579
0.0564151593,0.311632454,0.467051029,-0.295669198,0.471061736,0.87022686,1.5846802,-0.30886063,2.24345922
-0.494520336,0.245088801,0.669824123,0.27809599,0.957640767,0.219445005,0.574962795,0.526413202,0.0706163496
1.84872496,0.766000688,-0.576375008,1.43891704,1.71585,1.01565945,0.258362532,2.44692111,0.780045033
-0.369083375,0.824664712,0.046627935,1.06156206,0.405907393,0.570156634,0.218370304,0.64833796,-0.722860098
0.401758134,-0.469886273,-0.191881135,-0.0772317797,-0.453328431,0.448369294,-0.0542736761,0.518951774,-0.22320275
1.19654357,-1.19015872,-1.31253946,0.332597882,-0.455416739,-1.0451498,-1.66983604,1.49994087,-0.646126628
-0.476606131,0.570717514,-0.597086012,-0.624773562,-0.168080196,-0.379493773,-0.898519099,-1.32295144,-0.310324758
-1.0171175,-1.1309396,0.418059766,-0.562063456,0.168730259,0.216377974,0.307120472,0.439810127,-0.268750668
-0.176444456,-0.347158074,-0.94070214,-0.919655025,-1.67290449,-0.819919169,-1.56115842,-1.29177392,-0.913552821
-0.254257321,-0.083433412,-0.45129618,0.132311821,0.0741532743,-0.464532554,0.394875824,0.0526832044,-0.445504695
1.32141387,0.0487435907,-0.359819949,1.27983832,0.949041665,0.0988424197,1.24071693,0.981348038,0.848714173
1.14667702,1.81626272,0.741071701,0.163106903,0.84274888,0.379603952,-0.417998016,0.749976635,0.0295158233
1.31112087,2.42044902,0.792448819,1.14632905,1.1185739,1.28844917,-0.0557695664,0.905728877,1.72524393
0.343771458,0.740746617,0.415907085,0.593263745,0.259579659,0.017274335,0.628070414,0.659018934,-0.307593912
0.341866851,0.35963583,0.169830233,-0.00878660288,-0.0237105265,0.331216455,1.33183134,0.766795576,0.0287585631
0.556334734,-0.0800800845,1.0115304,0.455048382,-0.212470189,0.0562020168,-0.329937279,-0.367785603,-0.266264617
-0.673177063,-0.457555413,-0.162426427,-0.207102686,0.54136914,-0.571807683,-0.410660267,0.692515612,0.743090391
-0.60596931,-0.839862168,0.345103592,-0.207810506,-0.211671203,0.25328064,-0.492806673,0.797324061,-0.68538928
-0.022100199,0.489589959,-0.0426967144,0.0576347634,0.351813912,0.056406524,1.05414307,0.630258739,-0.0133457696
-0.463224143,-0.20715563,0.549559176,-0.475379378,0.163457915,-0.691882849,-0.449047178,0.0679985806,-0.351437122
-0.540287197,0.361930281,-0.545715511,-0.614439249,-0.210878968,-0.299629003,-0.0549278818,-0.289722681,-0.395371675
0.126345545,-0.333311319,0.0762045383,0.126369044,0.163457915,0.3740955,-0.37250042,0.736062348,0.495622039
0.89861697,1.11566341,0.489537805,0.495168388,0.395981789,0.489845157,-1.05785298,0.419848561,1.24546826
0.379199415,-0.205323368,-0.367176145,0.291431755,0.022799762,0.0955596268,0.588040292,0.525703549,0.938874185
-0.167762578,-0.899104655,-0.220633328,-0.409433812,-0.396476626,0.0562428311,-0.659193039,-0.766508698,-0.79916954
-1.86895669,-0.906654954,-1.48905599,-0.716872931,-0.398047805,-0.100410931,-0.136780113,-2.61130857,0.359824866
-0.699094474,0.428261966,0.594314635,-0.657219052,-0.211472526,-0.100492693,-0.177585721,0.505515099,0.481590241
-0.935078382,-1.16707718,-0.834344149,0.0598206557,-1.44472313,-0.297160625,0.308674663,-1.94433415,-0.136805981
-0.560228646,-0.790965438,0.262204528,-0.629311323,-0.790984333,-0.41680631,-0.0153687904,0.143203586,-0.550464034
0.362699449,0.948783696,-1.05971766,0.198816001,0.0725619942,-0.578203201,-0.869331419,-1.42221296,0.110912271
0.360593289,0.30271104,-0.0129510146,0.7459355,1.59715426,0.968115807,0.919361413,1.47336841,0.481838524
-0.251464814,-0.980486989,0.789297402,-0.694474518,-0.68754679,-0.456164658,0.346893758,0.538598776,-0.178076297
-1.10253108,-1.57719517,-0.350938201,-0.842818916,-1.55994582,-1.54123533,-1.27145445,-1.0518266,-1.38510013
-1.35690165,-0.608382046,1.14598417,-1.28353608,-0.606719553,-0.915842772,0.0255233292,-0.662391722,0.154151216
-0.539271474,-0.0173449088,-1.23356211,-0.29603067,-0.6105721,0.181978762,0.188689753,-0.140789405,1.23213005
-0.906131625,0.769959509,0.692190886,-0.733410418,-0.417117089,0.0186620727,-0.0561270043,-0.260947853,-0.550743997
-1.45196915,-1.93031383,0.743434608,-0.74287194,-1.31445229,-0.594550967,1.59618545,-0.770163774,-1.26704502
-0.643960297,0.248617038,0.940335691,0.212447196,-0.274095207,0.387265623,0.460660666,0.462831497,0.741163671
-0.565565646,-1.75839794,-0.10162916,-1.50043201,-0.98166275,-0.719311535,-1.0109334,0.0027742926,-0.347829461
-0.951536417,-0.287808806,1.30244184,0.142173558,0.077614516,-0.269717723,-0.660351038,-0.724351466,0.321137905
-0.022100199,-0.356418252,-0.331611335,-0.997363269,-1.81380773,-0.728178799,-0.258841187,-1.05404997,-1.52934742
1.49242651,-1.10987926,0.334583521,1.05511534,0.850272536,1.30157089,1.67070961,1.9069221,-0.439462066
0.805340409,1.88711321,0.102409303,0.254073352,-0.0237105265,-0.309647053,0.576705158,-0.795084715,-0.441680253
1.36245823,0.721383631,-0.18608202,1.79754055,1.49793828,1.28359532,-0.0546830818,1.89498389,1.05334365
0.938985944,0.583185315,-0.564805746,-0.226875603,-0.0237105265,0.260532945,-1.00564516,0.167034894,-0.651700675
-0.181366608,0.513560116,0.394215435,1.99448323,1.07582557,1.01842391,0.817439497,0.260135174,0.878968894
-0.261682123,-1.48391461,-0.420117497,-0.609404862,0.570347786,-0.740897894,-1.16817224,-0.727450669,-0.522051334
-0.624666512,0.651846051,0.365227938,-0.759701192,-0.41930759,-0.991329432,0.543627501,-0.639970064,-0.954220355
0.740278542,2.0301621,0.160724714,0.777638078,-0.222171798,0.746263981,0.578438401,0.169683844,-0.22869496
1.0864743,2.2468574,0.275299728,1.46266639,0.816704094,1.57024837,0.0634113997,1.36928177,0.373873711
-0.100703821,-0.466253638,-0.359032989,0.129361421,-1.26238322,0.0172949675,-0.291499406,0.926726401,-0.22824502
0.682171345,3.02262068,-0.273940355,-0.459017217,1.7545526,0.80014199,-1.65591562,1.25026834,1.14047611
-1.39808977,-1.71636379,-1.45597875,-1.31032717,-0.711032629,-0.412497938,-0.789403677,-0.767465353,0.0290738381
-0.300583631,-1.35829175,-0.042793218,-0.941772938,-0.666736484,-0.888204932,0.0255880654,-0.363518804,-1.12356222
-1.55350482,0.11111284,-0.764394104,-1.88515663,-2.1844337,-1.94719887,-1.33868599,-1.03627121,-1.1387471
-0.841780365,-0.919903636,0.738492072,-0.0836599916,-0.329429895,0.140240103,-1.66418338,0.511303604,-0.669681609
0.0603015944,-0.406569898,-0.162426427,0.252843082,0.0783129111,0.180329099,0.877472878,0.300622493,0.293593049
-0.850521266,-0.147411391,-0.614918768,-1.10071468,-0.946168423,-0.671735406,-0.694555163,-0.251129061,-1.15924251
